Idiom	WiktionaryURL	Pos	Neg	Neu	Inapprop.	Total	%Pos	%Neg	%Neu	Maj. Label	FilterOut(X)
collect dust	https://en.wiktionary.org/wiki/collect_dust	0	1	9	0	10	0.000	0.100	0.900	neutral	
collect one's thoughts	https://en.wiktionary.org/wiki/collect_one's_thoughts	3	1	6	0	10	0.300	0.100	0.600	neutral	
come a cropper	https://en.wiktionary.org/wiki/come_a_cropper	0	6	4	0	10	0.000	0.600	0.400	negative	
come a long way	https://en.wiktionary.org/wiki/come_a_long_way	8	0	2	0	10	0.800	0.000	0.200	positive	
come across	https://en.wiktionary.org/wiki/come_across	0	0	10	0	10	0.000	0.000	1.000	neutral	
come again	https://en.wiktionary.org/wiki/come_again	0	0	10	0	10	0.000	0.000	1.000	neutral	
come along	https://en.wiktionary.org/wiki/come_along	3	0	7	0	10	0.300	0.000	0.700	neutral	
come and go	https://en.wiktionary.org/wiki/come_and_go	0	0	10	0	10	0.000	0.000	1.000	neutral	
come apart	https://en.wiktionary.org/wiki/come_apart	0	4	6	0	10	0.000	0.400	0.600	neutral	
come around	https://en.wiktionary.org/wiki/come_around	2	0	8	0	10	0.200	0.000	0.800	neutral	
come at	https://en.wiktionary.org/wiki/come_at	0	1	9	0	10	0.000	0.100	0.900	neutral	
come clean	https://en.wiktionary.org/wiki/come_clean	3	1	6	0	10	0.300	0.100	0.600	neutral	
come down	https://en.wiktionary.org/wiki/come_down	0	5	5	0	10	0.000	0.500	0.500	negative	X
come down to	https://en.wiktionary.org/wiki/come_down_to	1	1	8	0	10	0.100	0.100	0.800	neutral	
come down to us	https://en.wiktionary.org/wiki/come_down_to_us	2	0	8	0	10	0.200	0.000	0.800	neutral	
come down with	https://en.wiktionary.org/wiki/come_down_with	0	6	4	0	10	0.000	0.600	0.400	negative	
come first	https://en.wiktionary.org/wiki/come_first	7	0	3	0	10	0.700	0.000	0.300	positive	X
come forward	https://en.wiktionary.org/wiki/come_forward	4	0	6	0	10	0.400	0.000	0.600	neutral	
come full circle	https://en.wiktionary.org/wiki/come_full_circle	1	0	9	0	10	0.100	0.000	0.900	neutral	
come hell or high water	https://en.wiktionary.org/wiki/come_hell_or_high_water	2	3	5	0	10	0.200	0.300	0.500	neutral	
come home to roost	https://en.wiktionary.org/wiki/come_home_to_roost	0	8	2	0	10	0.000	0.800	0.200	negative	
come in	https://en.wiktionary.org/wiki/come_in	1	0	9	0	10	0.100	0.000	0.900	neutral	
come in from the cold	https://en.wiktionary.org/wiki/come_in_from_the_cold	9	0	1	0	10	0.900	0.000	0.100	positive	
come in handy	https://en.wiktionary.org/wiki/come_in_handy	8	0	2	0	10	0.800	0.000	0.200	positive	
come into	https://en.wiktionary.org/wiki/come_into	0	0	10	0	10	0.000	0.000	1.000	neutral	
come into being	https://en.wiktionary.org/wiki/come_into_being	1	0	9	0	10	0.100	0.000	0.900	neutral	
come into one's own	https://en.wiktionary.org/wiki/come_into_one's_own	8	0	2	0	10	0.800	0.000	0.200	positive	
come of age	https://en.wiktionary.org/wiki/come_of_age	6	1	3	0	10	0.600	0.100	0.300	positive	
come on	https://en.wiktionary.org/wiki/come_on	1	0	9	0	10	0.100	0.000	0.900	neutral	
come on over	https://en.wiktionary.org/wiki/come_on_over	1	0	9	0	10	0.100	0.000	0.900	neutral	
come online	https://en.wiktionary.org/wiki/come_online	1	0	9	0	10	0.100	0.000	0.900	neutral	
come out	https://en.wiktionary.org/wiki/come_out	0	0	10	0	10	0.000	0.000	1.000	neutral	
come out of one's shell	https://en.wiktionary.org/wiki/come_out_of_one's_shell	8	0	2	0	10	0.800	0.000	0.200	positive	
come out of the closet	https://en.wiktionary.org/wiki/come_out_of_the_closet	1	0	9	0	10	0.100	0.000	0.900	neutral	
come out of the woodwork	https://en.wiktionary.org/wiki/come_out_of_the_woodwork	1	2	7	0	10	0.100	0.200	0.700	neutral	
come out swinging	https://en.wiktionary.org/wiki/come_out_swinging	1	3	6	0	10	0.100	0.300	0.600	neutral	
come thick and fast	https://en.wiktionary.org/wiki/come_thick_and_fast	0	0	10	0	10	0.000	0.000	1.000	neutral	
come through	https://en.wiktionary.org/wiki/come_through	7	0	3	0	10	0.700	0.000	0.300	positive	X
come to	https://en.wiktionary.org/wiki/come_to	1	0	9	0	10	0.100	0.000	0.900	neutral	
come to Jesus	https://en.wiktionary.org/wiki/come_to_Jesus	4	0	6	0	10	0.400	0.000	0.600	neutral	
come to a close	https://en.wiktionary.org/wiki/come_to_a_close	0	0	10	0	10	0.000	0.000	1.000	neutral	
come to a head	https://en.wiktionary.org/wiki/come_to_a_head	1	3	6	0	10	0.100	0.300	0.600	neutral	
come to an end	https://en.wiktionary.org/wiki/come_to_an_end	0	1	9	0	10	0.000	0.100	0.900	neutral	
come to blows	https://en.wiktionary.org/wiki/come_to_blows	0	9	1	0	10	0.000	0.900	0.100	negative	
come to grief	https://en.wiktionary.org/wiki/come_to_grief	0	10	0	0	10	0.000	1.000	0.000	negative	
come to grips with	https://en.wiktionary.org/wiki/come_to_grips_with	2	0	8	0	10	0.200	0.000	0.800	neutral	
come to life	https://en.wiktionary.org/wiki/come_to_life	9	0	1	0	10	0.900	0.000	0.100	positive	
come to light	https://en.wiktionary.org/wiki/come_to_light	2	0	8	0	10	0.200	0.000	0.800	neutral	
come to mind	https://en.wiktionary.org/wiki/come_to_mind	0	0	10	0	10	0.000	0.000	1.000	neutral	
come to nothing	https://en.wiktionary.org/wiki/come_to_nothing	0	10	0	0	10	0.000	1.000	0.000	negative	
come to one's senses	https://en.wiktionary.org/wiki/come_to_one's_senses	6	1	3	0	10	0.600	0.100	0.300	positive	
come to someone's aid	https://en.wiktionary.org/wiki/come_to_someone's_aid	8	0	2	0	10	0.800	0.000	0.200	positive	
come to someone's rescue	https://en.wiktionary.org/wiki/come_to_someone's_rescue	8	0	2	0	10	0.800	0.000	0.200	positive	
come to terms	https://en.wiktionary.org/wiki/come_to_terms	1	0	9	0	10	0.100	0.000	0.900	neutral	
come to terms with	https://en.wiktionary.org/wiki/come_to_terms_with	3	3	4	0	10	0.300	0.300	0.400	neutral	
come to the fore	https://en.wiktionary.org/wiki/come_to_the_fore	3	0	7	0	10	0.300	0.000	0.700	neutral	
come to the party	https://en.wiktionary.org/wiki/come_to_the_party	3	0	7	0	10	0.300	0.000	0.700	neutral	
come to think of it	https://en.wiktionary.org/wiki/come_to_think_of_it	0	0	10	0	10	0.000	0.000	1.000	neutral	
come together	https://en.wiktionary.org/wiki/come_together	6	0	4	0	10	0.600	0.000	0.400	positive	
come unstuck	https://en.wiktionary.org/wiki/come_unstuck	0	8	2	0	10	0.000	0.800	0.200	negative	
come up	https://en.wiktionary.org/wiki/come_up	3	0	7	0	10	0.300	0.000	0.700	neutral	
come up with	https://en.wiktionary.org/wiki/come_up_with	3	0	7	0	10	0.300	0.000	0.700	neutral	
come what may	https://en.wiktionary.org/wiki/come_what_may	0	0	10	0	10	0.000	0.000	1.000	neutral	
come with the territory	https://en.wiktionary.org/wiki/come_with_the_territory	1	0	9	0	10	0.100	0.000	0.900	neutral	
come-to-Jesus	https://en.wiktionary.org/wiki/come-to-Jesus	1	1	8	0	10	0.100	0.100	0.800	neutral	
comedy of errors	https://en.wiktionary.org/wiki/comedy_of_errors	0	5	5	0	10	0.000	0.500	0.500	negative	
comfort zone	https://en.wiktionary.org/wiki/comfort_zone	10	0	0	0	10	1.000	0.000	0.000	positive	X
comfortable in one's own skin	https://en.wiktionary.org/wiki/comfortable_in_one's_own_skin	8	0	2	0	10	0.800	0.000	0.200	positive	
comfortably off	https://en.wiktionary.org/wiki/comfortably_off	8	0	2	0	10	0.800	0.000	0.200	positive	
coming out of one's ears	https://en.wiktionary.org/wiki/coming_out_of_one's_ears	2	1	7	0	10	0.200	0.100	0.700	neutral	
command performance	https://en.wiktionary.org/wiki/command_performance	2	0	8	0	10	0.200	0.000	0.800	neutral	
common cause	https://en.wiktionary.org/wiki/common_cause	1	0	9	0	10	0.100	0.000	0.900	neutral	
common ground	https://en.wiktionary.org/wiki/common_ground	0	0	10	0	10	0.000	0.000	1.000	neutral	
common name	https://en.wiktionary.org/wiki/common_name	0	0	10	0	10	0.000	0.000	1.000	neutral	
common touch	https://en.wiktionary.org/wiki/common_touch	6	0	4	0	10	0.600	0.000	0.400	positive	
company man	https://en.wiktionary.org/wiki/company_man	1	0	9	0	10	0.100	0.000	0.900	neutral	
company town	https://en.wiktionary.org/wiki/company_town	0	0	10	0	10	0.000	0.000	1.000	neutral	
complete game	https://en.wiktionary.org/wiki/complete_game	0	0	10	0	10	0.000	0.000	1.000	neutral	
concrete jungle	https://en.wiktionary.org/wiki/concrete_jungle	0	3	7	0	10	0.000	0.300	0.700	neutral	
conjure up	https://en.wiktionary.org/wiki/conjure_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
connect up	https://en.wiktionary.org/wiki/connect_up	5	0	5	0	10	0.500	0.000	0.500	positive	
controlled substance	https://en.wiktionary.org/wiki/controlled_substance	0	5	5	0	10	0.000	0.500	0.500	negative	
cook the books	https://en.wiktionary.org/wiki/cook_the_books	0	10	0	0	10	0.000	1.000	0.000	negative	
cook up	https://en.wiktionary.org/wiki/cook_up	0	1	9	0	10	0.000	0.100	0.900	neutral	
cookie-cutter	https://en.wiktionary.org/wiki/cookie-cutter	0	0	10	0	10	0.000	0.000	1.000	neutral	
cool head	https://en.wiktionary.org/wiki/cool_head	7	0	3	0	10	0.700	0.000	0.300	positive	
cool one's heels	https://en.wiktionary.org/wiki/cool_one's_heels	0	3	7	0	10	0.000	0.300	0.700	neutral	
cop on	https://en.wiktionary.org/wiki/cop_on	0	1	9	0	10	0.000	0.100	0.900	neutral	
cop out	https://en.wiktionary.org/wiki/cop_out	0	7	3	0	10	0.000	0.700	0.300	negative	
cop-out	https://en.wiktionary.org/wiki/cop-out	0	6	4	0	10	0.000	0.600	0.400	negative	
corner the market	https://en.wiktionary.org/wiki/corner_the_market	4	2	4	0	10	0.400	0.200	0.400	positive	
corporate ladder	https://en.wiktionary.org/wiki/corporate_ladder	0	0	10	0	10	0.000	0.000	1.000	neutral	
cost the earth	https://en.wiktionary.org/wiki/cost_the_earth	0	6	4	0	10	0.000	0.600	0.400	negative	
cotton on	https://en.wiktionary.org/wiki/cotton_on	4	0	6	0	10	0.400	0.000	0.600	neutral	
cotton to	https://en.wiktionary.org/wiki/cotton_to	5	0	5	0	10	0.500	0.000	0.500	positive	
cotton-picking	https://en.wiktionary.org/wiki/cotton-picking	1	3	6	0	10	0.100	0.300	0.600	neutral	
cough up	https://en.wiktionary.org/wiki/cough_up	0	6	4	0	10	0.000	0.600	0.400	negative	
could care less	https://en.wiktionary.org/wiki/could_care_less	0	10	0	0	10	0.000	1.000	0.000	negative	
count on	https://en.wiktionary.org/wiki/count_on	5	0	5	0	10	0.500	0.000	0.500	positive	
count one's blessings	https://en.wiktionary.org/wiki/count_one's_blessings	9	0	1	0	10	0.900	0.000	0.100	positive	
country mile	https://en.wiktionary.org/wiki/country_mile	0	1	9	0	10	0.000	0.100	0.900	neutral	
courage of one's convictions	https://en.wiktionary.org/wiki/courage_of_one's_convictions	6	0	4	0	10	0.600	0.000	0.400	positive	
cover up	https://en.wiktionary.org/wiki/cover_up	0	5	5	0	10	0.000	0.500	0.500	negative	
crack a smile	https://en.wiktionary.org/wiki/crack_a_smile	5	0	5	0	10	0.500	0.000	0.500	positive	
crack down	https://en.wiktionary.org/wiki/crack_down	1	2	7	0	10	0.100	0.200	0.700	neutral	
crack of dawn	https://en.wiktionary.org/wiki/crack_of_dawn	0	0	10	0	10	0.000	0.000	1.000	neutral	
crack on	https://en.wiktionary.org/wiki/crack_on	1	1	8	0	10	0.100	0.100	0.800	neutral	
crack up	https://en.wiktionary.org/wiki/crack_up	6	2	2	0	10	0.600	0.200	0.200	positive	
cradle-to-grave	https://en.wiktionary.org/wiki/cradle-to-grave	0	0	10	0	10	0.000	0.000	1.000	neutral	
crank out	https://en.wiktionary.org/wiki/crank_out	2	0	8	0	10	0.200	0.000	0.800	neutral	
crank up	https://en.wiktionary.org/wiki/crank_up	2	0	8	0	10	0.200	0.000	0.800	neutral	
crap out	https://en.wiktionary.org/wiki/crap_out	0	8	2	0	10	0.000	0.800	0.200	negative	
crash and burn	https://en.wiktionary.org/wiki/crash_and_burn	0	10	0	0	10	0.000	1.000	0.000	negative	
crash course	https://en.wiktionary.org/wiki/crash_course	0	0	10	0	10	0.000	0.000	1.000	neutral	
crawl with	https://en.wiktionary.org/wiki/crawl_with	0	5	5	0	10	0.000	0.500	0.500	negative	
cream of the crop	https://en.wiktionary.org/wiki/cream_of_the_crop	8	0	2	0	10	0.800	0.000	0.200	positive	
creature feature	https://en.wiktionary.org/wiki/creature_feature	0	0	10	0	10	0.000	0.000	1.000	neutral	
creep into	https://en.wiktionary.org/wiki/creep_into	0	1	7	0	10	0.000	0.100	0.700	neutral	
creme de la creme	https://en.wiktionary.org/wiki/creme_de_la_creme	5	0	5	0	10	0.500	0.000	0.500	positive	
crony capitalism	https://en.wiktionary.org/wiki/crony_capitalism	2	4	4	0	10	0.200	0.400	0.400	negative	
crop up	https://en.wiktionary.org/wiki/crop_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
cross off	https://en.wiktionary.org/wiki/cross_off	1	0	9	0	10	0.100	0.000	0.900	neutral	
cross out	https://en.wiktionary.org/wiki/cross_out	0	1	9	0	10	0.000	0.100	0.900	neutral	
cross paths	https://en.wiktionary.org/wiki/cross_paths	2	0	8	0	10	0.200	0.000	0.800	neutral	
cross someone's path	https://en.wiktionary.org/wiki/cross_someone's_path	0	3	7	0	10	0.000	0.300	0.700	neutral	
cross swords	https://en.wiktionary.org/wiki/cross_swords	0	7	3	0	10	0.000	0.700	0.300	negative	
cross the line	https://en.wiktionary.org/wiki/cross_the_line	0	8	2	0	10	0.000	0.800	0.200	negative	
crowd-pleaser	https://en.wiktionary.org/wiki/crowd-pleaser	7	0	3	0	10	0.700	0.000	0.300	positive	
crown jewels	https://en.wiktionary.org/wiki/crown_jewels	2	0	8	1	11	0.182	0.000	0.727	neutral	
crunch numbers	https://en.wiktionary.org/wiki/crunch_numbers	1	0	9	0	10	0.100	0.000	0.900	neutral	
cry for help	https://en.wiktionary.org/wiki/cry_for_help	0	7	3	0	10	0.000	0.700	0.300	negative	
cry foul	https://en.wiktionary.org/wiki/cry_foul	0	8	2	0	10	0.000	0.800	0.200	negative	
cry wolf	https://en.wiktionary.org/wiki/cry_wolf	0	9	1	0	10	0.000	0.900	0.100	negative	
crying shame	https://en.wiktionary.org/wiki/crying_shame	0	9	1	0	10	0.000	0.900	0.100	negative	
crystal clear	https://en.wiktionary.org/wiki/crystal_clear	8	0	2	0	10	0.800	0.000	0.200	positive	
crème de la crème	https://en.wiktionary.org/wiki/crème_de_la_crème	7	0	2	1	10	0.700	0.000	0.200	positive	
cue up	https://en.wiktionary.org/wiki/cue_up	1	0	9	0	10	0.100	0.000	0.900	neutral	
culpable homicide	https://en.wiktionary.org/wiki/culpable_homicide	0	8	2	0	10	0.000	0.800	0.200	negative	
cult film	https://en.wiktionary.org/wiki/cult_film	1	0	9	0	10	0.100	0.000	0.900	neutral	
cup of joe	https://en.wiktionary.org/wiki/cup_of_joe	0	0	10	0	10	0.000	0.000	1.000	neutral	
cup of tea	https://en.wiktionary.org/wiki/cup_of_tea	2	0	8	0	10	0.200	0.000	0.800	neutral	
curb appeal	https://en.wiktionary.org/wiki/curb_appeal	8	0	2	0	10	0.800	0.000	0.200	positive	
curry favor	https://en.wiktionary.org/wiki/curry_favor	5	0	5	0	10	0.500	0.000	0.500	positive	
curtain-raiser	https://en.wiktionary.org/wiki/curtain-raiser	1	0	9	0	10	0.100	0.000	0.900	neutral	
cut a swath	https://en.wiktionary.org/wiki/cut_a_swath	1	1	8	0	10	0.100	0.100	0.800	neutral	
cut above	https://en.wiktionary.org/wiki/cut_above	7	0	3	0	10	0.700	0.000	0.300	positive	
cut and dried	https://en.wiktionary.org/wiki/cut_and_dried	1	1	8	0	10	0.100	0.100	0.800	neutral	
cut and thrust	https://en.wiktionary.org/wiki/cut_and_thrust	0	2	8	0	10	0.000	0.200	0.800	neutral	
cut bait	https://en.wiktionary.org/wiki/cut_bait	0	3	7	0	10	0.000	0.300	0.700	neutral	
cut below	https://en.wiktionary.org/wiki/cut_below	0	8	2	0	10	0.000	0.800	0.200	negative	
cut both ways	https://en.wiktionary.org/wiki/cut_both_ways	1	0	9	0	10	0.100	0.000	0.900	neutral	
cut corners	https://en.wiktionary.org/wiki/cut_corners	0	7	3	0	10	0.000	0.700	0.300	negative	
cut down	https://en.wiktionary.org/wiki/cut_down	0	7	3	0	10	0.000	0.700	0.300	negative	X
cut from the same cloth	https://en.wiktionary.org/wiki/cut_from_the_same_cloth	0	0	10	0	10	0.000	0.000	1.000	neutral	
cut in	https://en.wiktionary.org/wiki/cut_in	1	4	5	0	10	0.100	0.400	0.500	neutral	
cut it	https://en.wiktionary.org/wiki/cut_it	6	0	4	0	10	0.600	0.000	0.400	positive	X
cut loose	https://en.wiktionary.org/wiki/cut_loose	0	3	7	0	10	0.000	0.300	0.700	neutral	
cut off	https://en.wiktionary.org/wiki/cut_off	0	5	5	0	10	0.000	0.500	0.500	negative	
cut one's teeth	https://en.wiktionary.org/wiki/cut_one's_teeth	7	0	3	0	10	0.700	0.000	0.300	positive	
cut out	https://en.wiktionary.org/wiki/cut_out	4	2	4	0	10	0.400	0.200	0.400	positive	X
cut red tape	https://en.wiktionary.org/wiki/cut_red_tape	2	3	5	0	10	0.200	0.300	0.500	neutral	
cut short	https://en.wiktionary.org/wiki/cut_short	0	6	4	0	10	0.000	0.600	0.400	negative	
cut the mustard	https://en.wiktionary.org/wiki/cut_the_mustard	7	1	2	0	10	0.700	0.100	0.200	positive	
cut the umbilical cord	https://en.wiktionary.org/wiki/cut_the_umbilical_cord	2	0	8	0	10	0.200	0.000	0.800	neutral	
cut through	https://en.wiktionary.org/wiki/cut_through	1	0	9	0	10	0.100	0.000	0.900	neutral	
cut to the chase	https://en.wiktionary.org/wiki/cut_to_the_chase	4	0	6	0	10	0.400	0.000	0.600	neutral	
cut up	https://en.wiktionary.org/wiki/cut_up	0	4	6	0	10	0.000	0.400	0.600	neutral	
cutting edge	https://en.wiktionary.org/wiki/cutting_edge	7	0	3	0	10	0.700	0.000	0.300	positive	
cylinder head	https://en.wiktionary.org/wiki/cylinder_head	0	0	10	0	10	0.000	0.000	1.000	neutral	
daily grind	https://en.wiktionary.org/wiki/daily_grind	0	8	2	0	10	0.000	0.800	0.200	negative	
damn right	https://en.wiktionary.org/wiki/damn_right	3	0	7	0	10	0.300	0.000	0.700	neutral	
damp squib	https://en.wiktionary.org/wiki/damp_squib	0	6	4	0	10	0.000	0.600	0.400	negative	
dark horse	https://en.wiktionary.org/wiki/dark_horse	5	0	6	0	11	0.455	0.000	0.545	neutral	
dash off	https://en.wiktionary.org/wiki/dash_off	0	0	10	0	10	0.000	0.000	1.000	neutral	
date with destiny	https://en.wiktionary.org/wiki/date_with_destiny	0	0	10	0	10	0.000	0.000	1.000	neutral	
dawn on	https://en.wiktionary.org/wiki/dawn_on	0	0	10	0	10	0.000	0.000	1.000	neutral	
day after day	https://en.wiktionary.org/wiki/day_after_day	0	0	10	0	10	0.000	0.000	1.000	neutral	
day and age	https://en.wiktionary.org/wiki/day_and_age	0	0	10	0	10	0.000	0.000	1.000	neutral	
day and night	https://en.wiktionary.org/wiki/day_and_night	0	0	10	0	10	0.000	0.000	1.000	neutral	
day in, day out	https://en.wiktionary.org/wiki/day_in,_day_out	0	1	9	0	10	0.000	0.100	0.900	neutral	
day one	https://en.wiktionary.org/wiki/day_one	0	0	10	0	10	0.000	0.000	1.000	neutral	
day or night	https://en.wiktionary.org/wiki/day_or_night	0	0	10	0	10	0.000	0.000	1.000	neutral	
day out	https://en.wiktionary.org/wiki/day_out	0	0	10	0	10	0.000	0.000	1.000	neutral	
day-to-day	https://en.wiktionary.org/wiki/day-to-day	1	0	9	0	10	0.100	0.000	0.900	neutral	
daylight robbery	https://en.wiktionary.org/wiki/daylight_robbery	0	9	1	0	10	0.000	0.900	0.100	negative	
days of yore	https://en.wiktionary.org/wiki/days_of_yore	0	0	10	0	10	0.000	0.000	1.000	neutral	
dead air	https://en.wiktionary.org/wiki/dead_air	0	7	3	0	10	0.000	0.700	0.300	negative	
dead and buried	https://en.wiktionary.org/wiki/dead_and_buried	0	4	6	0	10	0.000	0.400	0.600	neutral	
dead cat bounce	https://en.wiktionary.org/wiki/dead_cat_bounce	1	4	5	0	10	0.100	0.400	0.500	neutral	
dead center	https://en.wiktionary.org/wiki/dead_center	1	2	7	0	10	0.100	0.200	0.700	neutral	
dead duck	https://en.wiktionary.org/wiki/dead_duck	0	9	1	0	10	0.000	0.900	0.100	negative	
dead end	https://en.wiktionary.org/wiki/dead_end	0	9	2	0	11	0.000	0.818	0.182	negative	
dead giveaway	https://en.wiktionary.org/wiki/dead_giveaway	0	4	6	0	10	0.000	0.400	0.600	neutral	
dead heat	https://en.wiktionary.org/wiki/dead_heat	0	0	10	0	10	0.000	0.000	1.000	neutral	
dead in the water	https://en.wiktionary.org/wiki/dead_in_the_water	0	9	1	0	10	0.000	0.900	0.100	negative	
dead last	https://en.wiktionary.org/wiki/dead_last	0	9	1	0	10	0.000	0.900	0.100	negative	
dead meat	https://en.wiktionary.org/wiki/dead_meat	0	9	1	0	10	0.000	0.900	0.100	negative	
dead men	https://en.wiktionary.org/wiki/dead_men	0	6	4	0	10	0.000	0.600	0.400	negative	
dead of night	https://en.wiktionary.org/wiki/dead_of_night	0	0	10	0	10	0.000	0.000	1.000	neutral	
dead on	https://en.wiktionary.org/wiki/dead_on	8	0	2	0	10	0.800	0.000	0.200	positive	X
dead ringer	https://en.wiktionary.org/wiki/dead_ringer	0	1	9	0	10	0.000	0.100	0.900	neutral	
dead weight	https://en.wiktionary.org/wiki/dead_weight	0	8	2	0	10	0.000	0.800	0.200	negative	
dead wood	https://en.wiktionary.org/wiki/dead_wood	0	9	1	0	10	0.000	0.900	0.100	negative	
deadbeat dad	https://en.wiktionary.org/wiki/deadbeat_dad	0	9	1	0	10	0.000	0.900	0.100	negative	
deafening silence	https://en.wiktionary.org/wiki/deafening_silence	0	7	3	0	10	0.000	0.700	0.300	negative	
deal breaker	https://en.wiktionary.org/wiki/deal_breaker	0	10	0	0	10	0.000	1.000	0.000	negative	
death knell	https://en.wiktionary.org/wiki/death_knell	0	7	3	0	10	0.000	0.700	0.300	negative	
death spiral	https://en.wiktionary.org/wiki/death_spiral	0	10	0	0	10	0.000	1.000	0.000	negative	
debris field	https://en.wiktionary.org/wiki/debris_field	0	4	6	0	10	0.000	0.400	0.600	neutral	
deep down	https://en.wiktionary.org/wiki/deep_down	0	0	10	0	10	0.000	0.000	1.000	neutral	
deep end	https://en.wiktionary.org/wiki/deep_end	0	1	9	0	10	0.000	0.100	0.900	neutral	
deep pockets	https://en.wiktionary.org/wiki/deep_pockets	3	0	7	0	10	0.300	0.000	0.700	neutral	
deep sleep	https://en.wiktionary.org/wiki/deep_sleep	0	0	10	0	10	0.000	0.000	1.000	neutral	
deep thinker	https://en.wiktionary.org/wiki/deep_thinker	5	0	5	0	10	0.500	0.000	0.500	positive	
deep water	https://en.wiktionary.org/wiki/deep_water	0	6	4	0	10	0.000	0.600	0.400	negative	X
deer in the headlights	https://en.wiktionary.org/wiki/deer_in_the_headlights	0	8	2	0	10	0.000	0.800	0.200	negative	
definitive agreement	https://en.wiktionary.org/wiki/definitive_agreement	0	1	9	0	10	0.000	0.100	0.900	neutral	
deliver the goods	https://en.wiktionary.org/wiki/deliver_the_goods	6	0	4	0	10	0.600	0.000	0.400	positive	
deputy first minister	https://en.wiktionary.org/wiki/deputy_first_minister	0	0	10	0	10	0.000	0.000	1.000	neutral	
detective work	https://en.wiktionary.org/wiki/detective_work	0	0	10	0	10	0.000	0.000	1.000	neutral	
devil is in the details	https://en.wiktionary.org/wiki/devil_is_in_the_details	0	3	7	0	10	0.000	0.300	0.700	neutral	
devil's advocate	https://en.wiktionary.org/wiki/devil's_advocate	0	4	6	0	10	0.000	0.400	0.600	neutral	
dial back	https://en.wiktionary.org/wiki/dial_back	1	3	6	0	10	0.100	0.300	0.600	neutral	
dial down	https://en.wiktionary.org/wiki/dial_down	0	4	6	0	10	0.000	0.400	0.600	neutral	
diamond in the rough	https://en.wiktionary.org/wiki/diamond_in_the_rough	5	0	5	0	10	0.500	0.000	0.500	positive	
diamond ring	https://en.wiktionary.org/wiki/diamond_ring	1	0	9	0	10	0.100	0.000	0.900	neutral	
die down	https://en.wiktionary.org/wiki/die_down	4	2	4	0	10	0.400	0.200	0.400	positive	
die off	https://en.wiktionary.org/wiki/die_off	0	9	1	0	10	0.000	0.900	0.100	negative	
die out	https://en.wiktionary.org/wiki/die_out	0	9	1	0	10	0.000	0.900	0.100	negative	
dig deep	https://en.wiktionary.org/wiki/dig_deep	5	0	5	0	10	0.500	0.000	0.500	positive	
dig in	https://en.wiktionary.org/wiki/dig_in	1	0	9	0	10	0.100	0.000	0.900	neutral	
dig in one's heels	https://en.wiktionary.org/wiki/dig_in_one's_heels	3	0	7	0	10	0.300	0.000	0.700	neutral	
dig up	https://en.wiktionary.org/wiki/dig_up	0	1	9	0	10	0.000	0.100	0.900	neutral	
dig up dirt	https://en.wiktionary.org/wiki/dig_up_dirt	0	7	3	0	10	0.000	0.700	0.300	negative	
dime a dozen	https://en.wiktionary.org/wiki/dime_a_dozen	0	5	5	0	10	0.000	0.500	0.500	negative	
diminishing returns	https://en.wiktionary.org/wiki/diminishing_returns	0	7	3	0	10	0.000	0.700	0.300	negative	
dip into	https://en.wiktionary.org/wiki/dip_into	0	0	10	0	10	0.000	0.000	1.000	neutral	
dirt-poor	https://en.wiktionary.org/wiki/dirt-poor	0	10	0	0	10	0.000	1.000	0.000	negative	
dirty laundry	https://en.wiktionary.org/wiki/dirty_laundry	0	10	0	0	10	0.000	1.000	0.000	negative	
dirty look	https://en.wiktionary.org/wiki/dirty_look	1	9	0	0	10	0.100	0.900	0.000	negative	
dirty money	https://en.wiktionary.org/wiki/dirty_money	0	10	0	0	10	0.000	1.000	0.000	negative	
dirty word	https://en.wiktionary.org/wiki/dirty_word	0	7	2	1	10	0.000	0.700	0.200	negative	
dirty work	https://en.wiktionary.org/wiki/dirty_work	1	9	0	0	10	0.100	0.900	0.000	negative	
disagree with	https://en.wiktionary.org/wiki/disagree_with	0	10	0	0	10	0.000	1.000	0.000	negative	
dismal science	https://en.wiktionary.org/wiki/dismal_science	0	4	6	0	10	0.000	0.400	0.600	neutral	
dive in	https://en.wiktionary.org/wiki/dive_in	6	0	4	0	10	0.600	0.000	0.400	positive	
do a	https://en.wiktionary.org/wiki/do_a	0	0	10	0	10	0.000	0.000	1.000	neutral	
do away with	https://en.wiktionary.org/wiki/do_away_with	0	8	2	0	10	0.000	0.800	0.200	negative	X
do down	https://en.wiktionary.org/wiki/do_down	0	6	4	0	10	0.000	0.600	0.400	negative	
do drugs	https://en.wiktionary.org/wiki/do_drugs	0	7	3	0	10	0.000	0.700	0.300	negative	
do for	https://en.wiktionary.org/wiki/do_for	0	3	7	0	10	0.000	0.300	0.700	neutral	
do in	https://en.wiktionary.org/wiki/do_in	0	5	5	0	10	0.000	0.500	0.500	negative	X
do it	https://en.wiktionary.org/wiki/do_it	0	0	10	0	10	0.000	0.000	1.000	neutral	
do it tough	https://en.wiktionary.org/wiki/do_it_tough	0	8	2	0	10	0.000	0.800	0.200	negative	
do justice	https://en.wiktionary.org/wiki/do_justice	7	0	3	0	10	0.700	0.000	0.300	positive	
