idiom	patterns
cap in hand	"[[{""LEMMA"": {""REGEX"": ""(?i)^cap$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hand$""}}]]"
captain's pick	"[[{""LEMMA"": {""REGEX"": ""(?i)^captain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^pick$""}}]]"
carrot and stick	"[[{""LEMMA"": {""REGEX"": ""(?i)^carrot$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^stick$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^stick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^carrot$""}}]]"
carry a tune	"[[{""LEMMA"": {""REGEX"": ""(?i)^carry$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tune$""}}]]"
carry the can	"[[{""LEMMA"": {""REGEX"": ""(?i)^carry$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^can$""}}]]"
carved in stone	"[[{""LEMMA"": {""REGEX"": ""(?i)^carve$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^stone$""}}]]"
cast a shadow	"[[{""LEMMA"": {""REGEX"": ""(?i)^cast$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^shadow$""}}]]"
cast aspersions	"[[{""LEMMA"": {""REGEX"": ""(?i)^cast$""}}, {""LEMMA"": {""REGEX"": ""(?i)^aspersion$""}}]]"
cast one's vote	"[[{""LEMMA"": {""REGEX"": ""(?i)^cast$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^vote$""}}]]"
cast the first stone	"[[{""LEMMA"": {""REGEX"": ""(?i)^cast$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^first$""}}, {""LEMMA"": {""REGEX"": ""(?i)^stone$""}}]]"
cat and mouse	"[[{""LEMMA"": {""REGEX"": ""(?i)^cat$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^mouse$""}}]]"
cat-and-mouse	"[[{""TEXT"": {""REGEX"": ""(?i)^cat$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^mouse$""}}]]"
catch a cold	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^cold$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cold$""}}]]"
catch of the day	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
catch sight of	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^sight$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
catch someone's eye	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^eye$""}}]]"
catch the eye	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^eye$""}}]]"
caught on the hop	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hop$""}}]]"
caught stealing	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^steal$""}}]]"
caught with one's pants down	"[[{""LEMMA"": {""REGEX"": ""(?i)^catch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^pant$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}]]"
cause a stir	"[[{""LEMMA"": {""REGEX"": ""(?i)^cause$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^stir$""}}]]"
cease and desist	"[[{""LEMMA"": {""REGEX"": ""(?i)^cease$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^desist$""}}]]"
cease to be	"[[{""LEMMA"": {""REGEX"": ""(?i)^cease$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}]]"
chain reaction	"[[{""LEMMA"": {""REGEX"": ""(?i)^chain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^reaction$""}}]]"
change of heart	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^heart$""}}]]"
change of life	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^life$""}}]]"
change of tack	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tack$""}}]]"
change one's mind	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mind$""}}]]"
change one's tune	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^tune$""}}]]"
change someone's mind	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mind$""}}]]"
change the channel	"[[{""LEMMA"": {""REGEX"": ""(?i)^change$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^channel$""}}]]"
character assassination	"[[{""LEMMA"": {""REGEX"": ""(?i)^character$""}}, {""LEMMA"": {""REGEX"": ""(?i)^assassination$""}}]]"
charm offensive	"[[{""LEMMA"": {""REGEX"": ""(?i)^charm$""}}, {""LEMMA"": {""REGEX"": ""(?i)^offensive$""}}]]"
check and balance	"[[{""LEMMA"": {""REGEX"": ""(?i)^check$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^balance$""}}]]"
checks and balances	"[[{""LEMMA"": {""REGEX"": ""(?i)^check$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^balance$""}}]]"
chemical imbalance	"[[{""LEMMA"": {""REGEX"": ""(?i)^chemical$""}}, {""LEMMA"": {""REGEX"": ""(?i)^imbalance$""}}]]"
cherry on top	"[[{""LEMMA"": {""REGEX"": ""(?i)^cherry$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""LEMMA"": {""REGEX"": ""(?i)^top$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cherry$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^cake$""}}]]"
cherry-pick	"[[{""TEXT"": {""REGEX"": ""(?i)^cherry$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^pick$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cherry$""}}, {""LEMMA"": {""REGEX"": ""(?i)^pick$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^cherrypick$""}}]]"
childhood friend	"[[{""LEMMA"": {""REGEX"": ""(?i)^childhood$""}}, {""LEMMA"": {""REGEX"": ""(?i)^friend$""}}]]"
chip off the old block	"[[{""LEMMA"": {""REGEX"": ""(?i)^chip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^old$""}}, {""LEMMA"": {""REGEX"": ""(?i)^block$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^chip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^old$""}}, {""LEMMA"": {""REGEX"": ""(?i)^block$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^chip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^block$""}}]]"
chip on one's shoulder	"[[{""LEMMA"": {""REGEX"": ""(?i)^chip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^shoulder$""}}]]"
chump-change	"[[{""TEXT"": {""REGEX"": ""(?i)^chump$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^change$""}}]]"
circle the wagons	"[[{""LEMMA"": {""REGEX"": ""(?i)^circle$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^wagon$""}}]]"
cities and counties	"[[{""LEMMA"": {""REGEX"": ""(?i)^city$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^county$""}}]]"
city and county	"[[{""LEMMA"": {""REGEX"": ""(?i)^city$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^county$""}}]]"
claim to fame	"[[{""LEMMA"": {""REGEX"": ""(?i)^claim$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fame$""}}]]"
clamp down on	"[[{""LEMMA"": {""REGEX"": ""(?i)^clamp$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}]]"
clean up one's act	"[[{""LEMMA"": {""REGEX"": ""(?i)^clean$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^act$""}}]]"
clear one's lines	"[[{""LEMMA"": {""REGEX"": ""(?i)^clear$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^line$""}}]]"
clear the decks	"[[{""LEMMA"": {""REGEX"": ""(?i)^clear$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^deck$""}}]]"
clock is ticking	"[[{""LEMMA"": {""REGEX"": ""(?i)^clock$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tick$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^clock$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^run$""}}]]"
close in on	"[[{""LEMMA"": {""REGEX"": ""(?i)^close$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}]]"
close of play	"[[{""LEMMA"": {""REGEX"": ""(?i)^close$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^play$""}}]]"
close one's eyes	"[[{""LEMMA"": {""REGEX"": ""(?i)^close$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^eye$""}}]]"
close to home	"[[{""LEMMA"": {""REGEX"": ""(?i)^close$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^home$""}}]]"
close to the wind	"[[{""LEMMA"": {""REGEX"": ""(?i)^close$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^wind$""}}]]"
close up shop	"[[{""LEMMA"": {""REGEX"": ""(?i)^close$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^shop$""}}]]"
cold hard cash	"[[{""LEMMA"": {""REGEX"": ""(?i)^cold$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hard$""}}, {""LEMMA"": {""REGEX"": ""(?i)^cash$""}}]]"
collect one's thoughts	"[[{""LEMMA"": {""REGEX"": ""(?i)^collect$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^thought$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^gather$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^thought$""}}]]"
come a cropper	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^cropper$""}}]]"
come a long way	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^way$""}}]]"
come and go	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^go$""}}]]"
come down to	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}]]"
come down to us	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^we$""}}]]"
come down with	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
come full circle	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^full$""}}, {""LEMMA"": {""REGEX"": ""(?i)^circle$""}}]]"
come hell or high water	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^high$""}}, {""LEMMA"": {""REGEX"": ""(?i)^water$""}}]]"
come home to roost	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^home$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^roost$""}}], [{""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^chicken$""}}, {""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^home$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^roost$""}}]]"
come in from the cold	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^cold$""}}]]"
come in handy	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^handy$""}}]]"
come into being	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^into$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}]]"
come into one's own	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^into$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^own$""}}]]"
come of age	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^age$""}}]]"
come on over	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}]]"
come out of one's shell	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^shell$""}}]]"
come out of the closet	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^closet$""}}]]"
come out of the woodwork	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^woodwork$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^crawl$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^woodwork$""}}]]"
come out swinging	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^swinge$""}}]]"
come thick and fast	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fast$""}}]]"
come to jesus	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^jesus$""}}]]"
come to a close	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^close$""}}]]"
come to a head	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^head$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^bring$""}}, {""LEMMA"": {""REGEX"": ""(?i)^something$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^head$""}}]]"
come to an end	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}]]"
come to blows	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^blow$""}}]]"
come to grief	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^grief$""}}]]"
come to grips with	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^grip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
come to life	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^life$""}}]]"
come to light	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^light$""}}]]"
come to mind	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^mind$""}}]]"
come to nothing	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^nothing$""}}]]"
come to one's senses	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^sense$""}}]]"
come to someone's aid	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^aid$""}}]]"
come to someone's rescue	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^rescue$""}}]]"
come to terms	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^term$""}}]]"
come to terms with	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^term$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
come to the fore	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fore$""}}]]"
come to the party	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^party$""}}]]"
come to think of it	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^think$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
come up with	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
come what may	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^what$""}}, {""LEMMA"": {""REGEX"": ""(?i)^may$""}}]]"
come with the territory	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^territory$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^go$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^territory$""}}]]"
come-to-jesus	"[[{""TEXT"": {""REGEX"": ""(?i)^come$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^jesus$""}}]]"
comedy of errors	"[[{""LEMMA"": {""REGEX"": ""(?i)^comedy$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^error$""}}]]"
comfortable in one's own skin	"[[{""LEMMA"": {""REGEX"": ""(?i)^comfortable$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^own$""}}, {""LEMMA"": {""REGEX"": ""(?i)^skin$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^comfortable$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^skin$""}}]]"
comfortably off	"[[{""LEMMA"": {""REGEX"": ""(?i)^comfortably$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}]]"
coming out of one's ears	"[[{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^ear$""}}]]"
command performance	"[[{""LEMMA"": {""REGEX"": ""(?i)^command$""}}, {""LEMMA"": {""REGEX"": ""(?i)^performance$""}}]]"
concrete jungle	"[[{""LEMMA"": {""REGEX"": ""(?i)^concrete$""}}, {""LEMMA"": {""REGEX"": ""(?i)^jungle$""}}]]"
controlled substance	"[[{""LEMMA"": {""REGEX"": ""(?i)^control$""}}, {""LEMMA"": {""REGEX"": ""(?i)^substance$""}}]]"
cook the books	"[[{""LEMMA"": {""REGEX"": ""(?i)^cook$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^book$""}}]]"
cookie-cutter	"[[{""TEXT"": {""REGEX"": ""(?i)^cookie$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^cutter$""}}]]"
cool one's heels	"[[{""LEMMA"": {""REGEX"": ""(?i)^cool$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^heel$""}}]]"
cop-out	"[[{""TEXT"": {""REGEX"": ""(?i)^cop$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^out$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^copout$""}}]]"
corner the market	"[[{""LEMMA"": {""REGEX"": ""(?i)^corner$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^market$""}}]]"
